Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Expo	Body_Site	Indice
Year:Gender	0.717112238791742	1	0.00288395822507896	0.957273275017153	2.72064128577436e-05	0.95	0	0.0103202038263998	Medium	Right_Arm	faith_pd
(Intercept)	31.8823533593863	1	7807.01199879632	6.70459691058694e-116	NA	NA	NA	NA	Low	Right_Arm	pielou_e
Age_num	0.00665056486713334	1	1.6285196745427	0.204236792527538	0.0126606422795132	0.95	0	0.0763390768299788	Low	Right_Arm	pielou_e
Age_num:Gender	0.000964515593901427	1	0.236180332415698	0.627816062218276	0.00185623563831181	0.95	0	0.0438986782485895	Low	Right_Arm	pielou_e
Age_num:Year	0.00652736137303633	1	1.59835091172063	0.208452430751263	0.0124290156163655	0.95	0	0.0758184882854794	Low	Right_Arm	pielou_e
Gender	0.000117697645146242	1	0.0288205490206157	0.865464168265963	0.000226881969745549	0.95	0	0.0260629889572261	Low	Right_Arm	pielou_e
Residuals	0.518643864934028	127	NA	NA	NA	NA	NA	NA	Low	Right_Arm	pielou_e
Year	0.00017660522797347	1	0.0432452121177287	0.835597351509994	0.000340397571279955	0.95	0	0.0295030250918339	Low	Right_Arm	pielou_e
Year:Gender	0.0106542956366057	1	2.60891073303458	0.108746397314894	0.0201291000617107	0.95	0	0.0917612397774817	Low	Right_Arm	pielou_e
(Intercept)	27.686669458886	1	7820.63917311043	3.80733357454938e-101	NA	NA	NA	NA	Medium	Right_Arm	pielou_e
Age_num	0.00631206499242931	1	1.78296572710981	0.184646002560801	0.0165421847049933	0.95	0	0.093179457928169	Medium	Right_Arm	pielou_e
Age_num:Gender	6.62396881863647e-05	1	0.0187106903925074	0.891458606135268	0.000176484794718438	0.95	0	0.0271216371882867	Medium	Right_Arm	pielou_e
Age_num:Year	0.00142445706468397	1	0.402365648819705	0.52723666836651	0.00378154796057552	0.95	0	0.059238355384627	Medium	Right_Arm	pielou_e
Gender	0.00109952768496152	1	0.310583015327966	0.578497571146897	0.00292146846079459	0.95	0	0.0556072330496969	Medium	Right_Arm	pielou_e
Residuals	0.375261778184645	106	NA	NA	NA	NA	NA	NA	Medium	Right_Arm	pielou_e
Year	0.0107101069592622	1	3.02527836214429	0.084879168040965	0.0277484121810298	0.95	0	0.114880451331698	Medium	Right_Arm	pielou_e
Year:Gender	0.00515891419371001	1	1.45723581862949	0.230057311994616	0.013561076716035	0.95	0	0.086636716826355	Medium	Right_Arm	pielou_e
(Intercept)	2156.12675866023	1	3394.95457735138	1.68966442156927e-93	NA	NA	NA	NA	Low	Right_Arm	shannon
Age_num	0.134068216402554	1	0.211098676422907	0.646693129793508	0.00165943599748212	0.95	0	0.0427670792707627	Low	Right_Arm	shannon
Age_num:Gender	0.385067560216314	1	0.606312625588963	0.437627960415475	0.0047514312819927	0.95	0	0.0556457203657467	Low	Right_Arm	shannon
Age_num:Year	0.269924777645514	1	0.425013212107071	0.515624202475691	0.00333539861125704	0.95	0	0.0506297609994676	Low	Right_Arm	shannon
Gender	0.00445729998894251	1	0.00701829377113782	0.933367028635376	5.52591019411564e-05	0.95	0	0.0152387718740358	Low	Right_Arm	shannon
Residuals	80.6573673110759	127	NA	NA	NA	NA	NA	NA	Low	Right_Arm	shannon
Year	0.0125596685237213	1	0.0197759728055687	0.888387363473459	0.000155692077506125	0.95	0	0.023168868239219	Low	Right_Arm	shannon
Year:Gender	2.30901117749022	1	3.63568052513152	0.0588124305070669	0.0278306853879181	0.95	0	0.105827885302045	Low	Right_Arm	shannon
(Intercept)	2095.4368446172	1	3797.33454878259	7.74896850247595e-85	NA	NA	NA	NA	Medium	Right_Arm	shannon
Age_num	1.64061222218321	1	2.97310486281411	0.0875742773807576	0.0272829233099024	0.95	0	0.114044266239189	Medium	Right_Arm	shannon
Age_num:Gender	0.0441498791735597	1	0.0800080717970586	0.777838097906481	0.000754223847182474	0.95	0	0.0406125602859377	Medium	Right_Arm	shannon
Age_num:Year	0.315326499193944	1	0.571432258916193	0.45136697366942	0.00536196471046662	0.95	0	0.0648920133286444	Medium	Right_Arm	shannon
Gender	0.605121761677623	1	1.09659700684436	0.297396086148658	0.0102393263417537	0.95	0	0.0787082851802928	Medium	Right_Arm	shannon
Residuals	58.4926881411155	106	NA	NA	NA	NA	NA	NA	Medium	Right_Arm	shannon
Year	0.513906664071712	1	0.931297707846507	0.336722471342591	0.00870930894704899	0.95	0	0.0747389661936809	Medium	Right_Arm	shannon
Year:Gender	0.151677617177981	1	0.274869012381132	0.601178757847588	0.00258639709402144	0.95	0	0.0540190934038739	Medium	Right_Arm	shannon
(Intercept)	5061094.54457297	1	408.758117191973	1.61776202514041e-41	NA	NA	NA	NA	Low	Right_Arm	observed_otus
Age_num	10101.4298756286	1	0.815839621359428	0.368109406043744	0.00638293050201184	0.95	0	0.0606327487961949	Low	Right_Arm	observed_otus
Age_num:Gender	14104.1868902801	1	1.13912135547372	0.287862711999145	0.00888972347729509	0.95	0	0.0673826834292156	Low	Right_Arm	observed_otus
Age_num:Year	2902.35452553234	1	0.23440798444525	0.62910832651755	0.00184233171009769	0.95	0	0.0438215217843701	Low	Right_Arm	observed_otus
Gender	751.501698606415	1	0.0606948589249969	0.805798790714156	0.00047768398396047	0.95	0	0.0274781964259824	Low	Right_Arm	observed_otus
Residuals	1572467.87311846	127	NA	NA	NA	NA	NA	NA	Low	Right_Arm	observed_otus
Year	0.969532016897574	1	7.83040265883488e-05	0.992953531820834	6.16566758336133e-07	0.95	0	0	Low	Right_Arm	observed_otus
Year:Gender	23295.7837368124	1	1.88147852503204	0.172584608548923	0.0145985175415768	0.95	0	0.0805761731884514	Low	Right_Arm	observed_otus
(Intercept)	7767618.74213008	1	455.082380341196	3.76355996114356e-40	NA	NA	NA	NA	Medium	Right_Arm	observed_otus
Age_num	49062.4513757513	1	2.87442753032551	0.0929325190931937	0.0264013101655563	0.95	0	0.112447997003027	Medium	Right_Arm	observed_otus
Age_num:Gender	2993.26325583155	1	0.175366661608074	0.676232984281173	0.0016516699411737	0.95	0	0.0486949937732525	Medium	Right_Arm	observed_otus
Age_num:Year	7586.23702848935	1	0.444455748842628	0.506428184223173	0.00417547110101562	0.95	0	0.0607460651105005	Medium	Right_Arm	observed_otus
Gender	25162.7230283399	1	1.47421137310647	0.227380553546042	0.0137168847695808	0.95	0	0.0869903468188676	Medium	Right_Arm	observed_otus
Residuals	1809271.51266211	106	NA	NA	NA	NA	NA	NA	Medium	Right_Arm	observed_otus
Year	654.88414918771	1	0.0383677736194266	0.845081502409211	0.00036182916075564	0.95	0	0.033686775150327	Medium	Right_Arm	observed_otus
Year:Gender	1737.08574967203	1	0.101770844329666	0.750342607090896	0.000959181392730779	0.95	0	0.0429821116556657	Medium	Right_Arm	observed_otus
(Intercept)	92271.5231829367	1	805.971503250839	5.54644590197624e-62	NA	NA	NA	NA	Low	Right_Hand	faith_pd
Age_num	19.6007198479274	1	0.171207985906035	0.679635419501506	0.00114772809188628	0.95	0	0.0349462798815488	Low	Right_Hand	faith_pd
Age_num:Gender	25.4087253312973	1	0.221939639062341	0.638254977877739	0.00148731238582723	0.95	0	0.0371172727132759	Low	Right_Hand	faith_pd
Age_num:Year	0.571629363905231	1	0.00499305703251052	0.943761861264439	3.35093269699989e-05	0.95	0	0.0107828459082474	Low	Right_Hand	faith_pd
Gender	430.449871529803	1	3.7598851526834	0.0543858631273425	0.0246130399281552	0.95	0	0.0929746005226429	Low	Right_Hand	faith_pd
Residuals	17058.2420083142	149	NA	NA	NA	NA	NA	NA	Low	Right_Hand	faith_pd
Year	81.8749519458579	1	0.715159735334208	0.399092214149511	0.00477680240663981	0.95	0	0.0501323118045148	Low	Right_Hand	faith_pd
Year:Gender	54.7738432411861	1	0.478437498949711	0.490207305307468	0.00320071247033923	0.95	0	0.0448395058000144	Low	Right_Hand	faith_pd
(Intercept)	196038.086647808	1	799.756719704515	2.16044408063975e-54	NA	NA	NA	NA	Medium	Right_Hand	faith_pd
Age_num	1589.70314061851	1	6.48535083557061	0.0121638545724194	0.0520973013454164	0.95	0.00240484591859485	0.148033643030182	Medium	Right_Hand	faith_pd
Age_num:Gender	14.2756450808811	1	0.058238902841684	0.809720242416369	0.000493306552621142	0.95	0	0.0338875906205744	Medium	Right_Hand	faith_pd
Age_num:Year	2.1932126006468	1	0.00894742723264334	0.924800262018362	7.5819905419973e-05	0.95	0	0.0183777631771883	Medium	Right_Hand	faith_pd
Gender	453.552576742153	1	1.85031249381912	0.176340000989213	0.0154385287390431	0.95	0	0.085665292136456	Medium	Right_Hand	faith_pd
Residuals	28924.413705443	118	NA	NA	NA	NA	NA	NA	Medium	Right_Hand	faith_pd
Year	477.524769844782	1	1.9481094211801	0.165411484258786	0.0162412682499197	0.95	0	0.0873590092114465	Medium	Right_Hand	faith_pd
Year:Gender	0.102426779063535	1	0.000417860152761635	0.98372560190463	3.54117519530192e-06	0.95	0	0	Medium	Right_Hand	faith_pd
(Intercept)	35.8890269386223	1	6030.54942991264	1.97670471098867e-122	NA	NA	NA	NA	Low	Right_Hand	pielou_e
Age_num	0.0147391115076344	1	2.476660642034	0.117668334909193	0.0163501138164564	0.95	0	0.0775474371872096	Low	Right_Hand	pielou_e
Age_num:Gender	7.31060921355109e-07	1	0.000122842534294654	0.991171705393003	8.2444585917876e-07	0.95	0	0	Low	Right_Hand	pielou_e
Age_num:Year	0.00449189766192604	1	0.754788111995379	0.386361755516379	0.00504016012784115	0.95	0	0.0509360098560731	Low	Right_Hand	pielou_e
Gender	0.000360053351559531	1	0.0605009307635695	0.806044447988799	0.00040588170833849	0.95	0	0.0272945291635238	Low	Right_Hand	pielou_e
Residuals	0.886729323091242	149	NA	NA	NA	NA	NA	NA	Low	Right_Hand	pielou_e
Year	9.65225048821239e-05	1	0.0162189891017697	0.898832096168747	0.000108840428322476	0.95	0	0.0185168605962483	Low	Right_Hand	pielou_e
Year:Gender	0.000734695428408427	1	0.123453252285863	0.725815274260039	0.000827859398326874	0.95	0	0.032399642802666	Low	Right_Hand	pielou_e
(Intercept)	33.8618927275061	1	5692.23029477972	1.05460637547176e-101	NA	NA	NA	NA	Medium	Right_Hand	pielou_e
Age_num	0.0711571617727657	1	11.9616158255814	0.000756250124935781	0.0920396053064995	0.95	0.0173316956971482	0.201715367802314	Medium	Right_Hand	pielou_e
Age_num:Gender	0.00464108517705053	1	0.780172740432805	0.378884295532168	0.00656820681796529	0.95	0	0.0641012279116315	Medium	Right_Hand	pielou_e
Age_num:Year	0.00557220854856455	1	0.936695847577498	0.335108538334555	0.00787558323276371	0.95	0	0.0677658767290998	Medium	Right_Hand	pielou_e
Gender	0.0161550436139936	1	2.71568483820645	0.102026583055559	0.0224965367329544	0.95	0	0.0997386309587637	Medium	Right_Hand	pielou_e
Residuals	0.701957428797309	118	NA	NA	NA	NA	NA	NA	Medium	Right_Hand	pielou_e
Year	0.000479201835908327	1	0.0805544813936434	0.77704479381014	0.000682199382848737	0.95	0	0.0367206820709176	Medium	Right_Hand	pielou_e
Year:Gender	0.00327871314807415	1	0.551156146513928	0.459320962472163	0.00464909971719525	0.95	0	0.0581048496300711	Medium	Right_Hand	pielou_e
(Intercept)	2352.73612566368	1	3318.8059058344	9.82474822045607e-104	NA	NA	NA	NA	Low	Right_Hand	shannon
Age_num	1.16842264022682	1	1.64819501711078	0.201197624385186	0.0109406887810609	0.95	0	0.0660822874713194	Low	Right_Hand	shannon
Age_num:Gender	0.0661082838036862	1	0.0932533658658215	0.760507403789982	0.00062547005823921	0.95	0	0.030275222451649	Low	Right_Hand	shannon
Age_num:Year	0.460697253371123	1	0.64986665891334	0.421445107701758	0.00434258094191648	0.95	0	0.0487650627093109	Low	Right_Hand	shannon
Gender	0.664712422235965	1	0.937653606171372	0.334451168834975	0.00625362331355557	0.95	0	0.0544387976637324	Low	Right_Hand	shannon
Residuals	105.627654243839	149	NA	NA	NA	NA	NA	NA	Low	Right_Hand	shannon
Year	0.135408394816793	1	0.19100917247605	0.662710761246637	0.00128029948678227	0.95	0	0.0358428569305639	Low	Right_Hand	shannon
Year:Gender	0.0973825161224653	1	0.137369280858508	0.71143681885766	0.00092109228908156	0.95	0	0.0332122600959011	Low	Right_Hand	shannon
(Intercept)	2633.69332371953	1	3229.05851449807	1.44093348462148e-87	NA	NA	NA	NA	Medium	Right_Hand	shannon
Age_num	10.3232050872223	1	12.6568393455649	0.000539890686598528	0.0968708519887714	0.95	0.0196709370638953	0.207724723592148	Medium	Right_Hand	shannon
Age_num:Gender	0.239286384535291	1	0.29337878120749	0.589084677263807	0.00248009469532624	0.95	0	0.0495558382134362	Medium	Right_Hand	shannon
Age_num:Year	0.350105309021586	1	0.429249115257856	0.51363283564246	0.00362451943641137	0.95	0	0.0544196160146586	Medium	Right_Hand	shannon
Gender	2.54204306748119	1	3.11669006309296	0.0800807600975241	0.0257329527538227	0.95	0	0.105701153443778	Medium	Right_Hand	shannon
Residuals	96.2434749335015	118	NA	NA	NA	NA	NA	NA	Medium	Right_Hand	shannon
Year	0.0141711785715302	1	0.017374674725699	0.895356668837341	0.000147221328838964	0.95	0	0.0238262462759592	Medium	Right_Hand	shannon
Year:Gender	0.319743824045787	1	0.392024199702597	0.532446586908888	0.00331123825572349	0.95	0	0.0531873484494738	Medium	Right_Hand	shannon
(Intercept)	4997522.40990014	1	534.712208118853	3.7282978641699e-51	NA	NA	NA	NA	Low	Right_Hand	observed_otus
Age_num	1552.20026540617	1	0.166078381102164	0.684205771721074	0.00111337901287351	0.95	0	0.0347014777140324	Low	Right_Hand	observed_otus
Age_num:Gender	4098.6057688077	1	0.438532208781356	0.508854699236021	0.00293453236122984	0.95	0	0.0438307426426601	Low	Right_Hand	observed_otus
Age_num:Year	2611.37707981211	1	0.279405491371313	0.597877612754079	0.00187169482924732	0.95	0	0.0391934975538733	Low	Right_Hand	observed_otus
Gender	27183.6480745256	1	2.90852692483391	0.0901961525129702	0.0191465678965677	0.95	0	0.0829882780039389	Low	Right_Hand	observed_otus
Residuals	1392582.45420424	149	NA	NA	NA	NA	NA	NA	Low	Right_Hand	observed_otus
Year	13.0903113067616	1	0.00140060387722034	0.970196518622393	9.3999376619544e-06	0.95	0	0.00235460632846767	Low	Right_Hand	observed_otus
Year:Gender	560.065582551295	1	0.0599244745244392	0.806952153251429	0.000402015999509518	0.95	0	0.0272286956823442	Low	Right_Hand	observed_otus
(Intercept)	11269117.9365741	1	584.37782147389	1.57634592212486e-47	NA	NA	NA	NA	Medium	Right_Hand	observed_otus
Age_num	122636.838490571	1	6.35952599954355	0.0130081720961933	0.0511382296485023	0.95	0.00215681165046536	0.146626424678688	Medium	Right_Hand	observed_otus
Age_num:Gender	297.513064590748	1	0.015428007544521	0.901360716301985	0.000130728734412036	0.95	0	0.0228508177153181	Medium	Right_Hand	observed_otus
Age_num:Year	320.568863489199	1	0.016623602231563	0.897630524203068	0.00014085814120214	0.95	0	0.022809964089961	Medium	Right_Hand	observed_otus
Gender	37884.5698207621	1	1.96456390854517	0.163650906075408	0.0163762018094181	0.95	0	0.0876409297541221	Medium	Right_Hand	observed_otus
Residuals	2275507.15932698	118	NA	NA	NA	NA	NA	NA	Medium	Right_Hand	observed_otus
Year	6678.69724371191	1	0.346334342007122	0.557320324302274	0.0029264475653826	0.95	0	0.0564266070503048	Medium	Right_Hand	observed_otus
Year:Gender	3091.56817975082	1	0.160318126759264	0.689587770833431	0.00135678482675782	0.95	0	0.043068358961864	Medium	Right_Hand	observed_otus
