"Index"	"Variable"	"Body_Site"	"Expo"	"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"	"Omega2_partial"	"p.adj"
"bc"	"Age_grp2"	"Feces"	"Low"	3	1.48381543511681	0.0248263638571344	1.82294192328973	0.001	0.0113005860729521	0.00204545454545455
"bc"	"Age_grp2"	"Feces"	"Medium"	3	2.63538289468516	0.0726706043277195	3.14063629622008	0.001	0.0492394946783256	0.00204545454545455
"bc"	"Age_grp2"	"Mouth"	"Low"	3	2.65791746035899	0.07079709462787	4.93012240398345	0.001	0.057572860347224	0.00204545454545455
"bc"	"Age_grp2"	"Mouth"	"Medium"	3	1.71157248851257	0.0724920420791504	3.4838617135293	0.001	0.0519449480693089	0.00204545454545455
"bc"	"Age_grp2"	"Nose"	"Low"	3	8.4062825845913	0.167398045625708	12.3398080469393	0.001	0.158215585762793	0.00204545454545455
"bc"	"Age_grp2"	"Nose"	"Medium"	3	7.02623597705639	0.198435109149283	9.2690703984589	0.001	0.18266490399901	0.00204545454545455
"bc"	"Age_grp2"	"Right_Arm"	"Low"	3	1.12401457589715	0.0343828380365995	1.67074074844411	0.001	0.0142698428071822	0.00204545454545455
"bc"	"Age_grp2"	"Right_Arm"	"Medium"	3	1.44972389788213	0.0447164469573271	1.88402331339071	0.001	0.0212757793869369	0.00204545454545455
"bc"	"Age_grp2"	"Right_Hand"	"Low"	3	1.94651385036177	0.0409698673347082	2.35792497409105	0.001	0.0243830901897583	0.00204545454545455
"bc"	"Age_grp2"	"Right_Hand"	"Medium"	3	1.90067861627402	0.0513114625873678	2.45815592388281	0.001	0.0311628449324882	0.00204545454545455
"bc"	"Gender"	"Feces"	"Low"	1	0.538679762191805	0.00901288628096496	1.98538557792374	0.006	0.0045412532060592	0.0108
"bc"	"Gender"	"Feces"	"Medium"	1	0.221609237255002	0.00611086807476979	0.792287923896373	0.762	-0.00167790804731973	0.770561797752809
"bc"	"Gender"	"Mouth"	"Low"	1	0.18861341475121	0.00502396405132292	1.04956670283264	0.375	0.000256756353713744	0.401785714285714
"bc"	"Gender"	"Mouth"	"Medium"	1	0.16465822116032	0.00697394400596216	1.0054727036717	0.408	4.02388489441481e-05	0.432
"bc"	"Gender"	"Nose"	"Low"	1	0.995747945544338	0.0198287719146477	4.38505548231531	0.001	0.0183586217085797	0.00204545454545455
"bc"	"Gender"	"Nose"	"Medium"	1	0.342024342642752	0.00965945891735617	1.35360428554968	0.198	0.00317550821833226	0.228461538461538
"bc"	"Gender"	"Right_Arm"	"Low"	1	0.577707472453458	0.0176716769371487	2.57612161516214	0.001	0.0112118729486427	0.00204545454545455
"bc"	"Gender"	"Right_Arm"	"Medium"	1	0.304270431854309	0.00938516130317835	1.18626571865118	0.11	0.00152444071807613	0.142714285714286
"bc"	"Gender"	"Right_Hand"	"Low"	1	0.562723013842835	0.0118440910240856	2.04497694314767	0.002	0.00637006364120388	0.00382978723404255
"bc"	"Gender"	"Right_Hand"	"Medium"	1	0.295026288932227	0.00796464497323175	1.14467634922141	0.192	0.00106266622464405	0.224415584415584
"bc"	"Year"	"Feces"	"Low"	1	0.812610485212112	0.0135961408019793	2.99499860779117	0.001	0.00915157971757189	0.00204545454545455
"bc"	"Year"	"Feces"	"Medium"	1	0.377783347990601	0.0104173644971259	1.35063496526401	0.129	0.00281972798419532	0.1625
"bc"	"Year"	"Mouth"	"Low"	1	0.914413049630902	0.0243565829899527	5.08838404094525	0.001	0.0207439117269128	0.00204545454545455
"bc"	"Year"	"Mouth"	"Medium"	1	0.407527561211506	0.0172604463521331	2.48853556114338	0.02	0.010826615870684	0.0305084745762712
"bc"	"Year"	"Nose"	"Low"	1	0.529218544131922	0.010538564354112	2.33056235634009	0.025	0.00729752784801752	0.0375
"bc"	"Year"	"Nose"	"Medium"	1	1.48710402743445	0.0419988242586638	5.88540093093903	0.001	0.0421571733082275	0.00204545454545455
"bc"	"Year"	"Right_Arm"	"Low"	1	1.16510647914725	0.0356398112862004	5.1954598616318	0.001	0.0292988329775666	0.00204545454545455
"bc"	"Year"	"Right_Arm"	"Medium"	1	0.867617565433889	0.0267614922404516	3.38259938207415	0.001	0.0191554075402087	0.00204545454545455
"bc"	"Year"	"Right_Hand"	"Low"	1	1.75901603623781	0.0370234476527837	6.39239403444409	0.001	0.0320227885906836	0.00204545454545455
"bc"	"Year"	"Right_Hand"	"Medium"	1	1.24162019459005	0.0335192639181261	4.81737839908023	0.001	0.0273026031727208	0.00204545454545455
"uu"	"Age_grp2"	"Feces"	"Low"	3	1.06377517475304	0.0336372452802723	2.49476243582665	0.001	0.0203383531871652	0.00204545454545455
