"Index"	"Variable"	"Body_Site"	"Year"	"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"	"Omega2_partial"
"bc"	"Age_grp2"	"Feces"	"2015"	3	1.95867012718775	0.0415782416384361	2.27457714881198	0.001	0.0236289907064811
"bc"	"Age_grp2"	"Feces"	"2016"	3	1.81045357082037	0.0363054211391844	2.27067399384335	0.001	0.0205154754836528
"bc"	"Age_grp2"	"Mouth"	"2015"	3	2.07803661255556	0.0624099705369087	3.96535744329648	0.001	0.0494511759744038
"bc"	"Age_grp2"	"Mouth"	"2016"	3	1.83699282042714	0.0630128297550831	3.48804594985929	0.001	0.0451103057531625
"bc"	"Age_grp2"	"Nose"	"2015"	3	7.5660564461372	0.175720227768908	10.378058808342	0.001	0.164398351122761
"bc"	"Age_grp2"	"Nose"	"2016"	3	7.56351487782386	0.178469009283647	10.6901076252269	0.001	0.163251924330907
"bc"	"Age_grp2"	"Right_Arm"	"2015"	3	1.38296515352959	0.0308933342583179	2.0106522684117	0.001	0.0173223042270439
"bc"	"Age_grp2"	"Right_Arm"	"2016"	3	1.15996739050403	0.0474921858835177	1.48715645247709	0.001	0.016155711020531
"bc"	"Age_grp2"	"Right_Hand"	"2015"	3	1.82975692260332	0.0378504297940535	2.41419639995136	0.001	0.0240724402604134
"bc"	"Age_grp2"	"Right_Hand"	"2016"	3	1.69329450394115	0.043773607339814	1.94276634785991	0.001	0.0217849195007196
"bc"	"Expo"	"Feces"	"2015"	1	0.983849916481539	0.0208849611762642	3.42759483614921	0.001	0.0151320278698225
"bc"	"Expo"	"Feces"	"2016"	1	0.893311547899394	0.0179137717076546	3.36117865640039	0.001	0.012807352793079
"bc"	"Expo"	"Mouth"	"2015"	1	1.84225947251216	0.0553288419973642	10.5463261826156	0.001	0.0528746631651749
"bc"	"Expo"	"Mouth"	"2016"	1	0.495770407801519	0.0170059980403959	2.82407738957317	0.002	0.0114130325002719
"bc"	"Expo"	"Nose"	"2015"	1	1.32677760750843	0.03081415861087	5.45966427861251	0.001	0.0302432824625611
"bc"	"Expo"	"Nose"	"2016"	1	0.940025694735048	0.0221808850978032	3.98583568996203	0.001	0.0196454865442387
"bc"	"Expo"	"Right_Arm"	"2015"	1	4.54611770217817	0.10155334239088	19.8283995378099	0.001	0.0986666533042914
"bc"	"Expo"	"Right_Arm"	"2016"	1	1.34987845729133	0.0552676559174471	5.19190575766529	0.001	0.044981436140665
"bc"	"Expo"	"Right_Hand"	"2015"	1	3.89063285459973	0.0804817972804526	15.3999993907553	0.001	0.0772532158681407
"bc"	"Expo"	"Right_Hand"	"2016"	1	1.42590722114207	0.03686133903819	4.90795527527716	0.001	0.0298526951021379
"bc"	"Gender"	"Feces"	"2015"	1	0.361478437932092	0.00767338901574224	1.25934007461856	0.142	0.00163870312170061
"bc"	"Gender"	"Feces"	"2016"	1	0.373221023985408	0.00748428276326799	1.40428335768131	0.077	0.00221641372800737
"bc"	"Gender"	"Mouth"	"2015"	1	0.170919725785748	0.00513325654900115	0.978458901189236	0.455	-0.000125987208851922
"bc"	"Gender"	"Mouth"	"2016"	1	0.107517115991719	0.00368806979015213	0.612454175332485	0.867	-0.00245885280256088
"bc"	"Gender"	"Nose"	"2015"	1	0.664608354041718	0.0154354031298502	2.73485056523007	0.015	0.0119864051985752
"bc"	"Gender"	"Nose"	"2016"	1	0.381800863079597	0.00900898892619908	1.61888713792009	0.112	0.00413642388176295
"bc"	"Gender"	"Right_Arm"	"2015"	1	0.507646961231913	0.0113400595947997	2.21415885616834	0.003	0.00700958203524542
"bc"	"Gender"	"Right_Arm"	"2016"	1	0.349944216576038	0.0143276577587837	1.34595628450028	0.037	0.00387209784177211
"bc"	"Gender"	"Right_Hand"	"2015"	1	0.43862243338539	0.00907336237718931	1.73616618667082	0.012	0.00426179533170413
"bc"	"Gender"	"Right_Hand"	"2016"	1	0.416477273662743	0.0107664157657378	1.43350969964858	0.025	0.00340185011517244
"uu"	"Age_grp2"	"Feces"	"2015"	3	1.62128935670994	0.0665695583641223	3.8000748610452	0.001	0.0504820507555189
"uu"	"Age_grp2"	"Feces"	"2016"	3	1.34714726127565	0.0480471004879029	3.06806338184655	0.001	0.0329652073141512
"uu"	"Age_grp2"	"Mouth"	"2015"	3	0.94451798837818	0.0444282442721748	2.82899458824356	0.001	0.0310900194886056
"uu"	"Age_grp2"	"Mouth"	"2016"	3	1.79720044412875	0.0836716933536501	4.87006568816895	0.001	0.0684522349802542
"uu"	"Age_grp2"	"Nose"	"2015"	3	4.47219164194213	0.113002740402595	6.03876317779184	0.001	0.0956023543050872
"uu"	"Age_grp2"	"Nose"	"2016"	3	3.52806471952925	0.0896599025487264	4.80850910646144	0.001	0.0712201325455999
"uu"	"Age_grp2"	"Right_Arm"	"2015"	3	0.84171776169562	0.0212079391058539	1.29191634438207	0.01	0.00506577144593188
"uu"	"Age_grp2"	"Right_Arm"	"2016"	3	0.814983010956389	0.0394006950210527	1.19777064600107	0.012	0.00662227933278957
"uu"	"Age_grp2"	"Right_Hand"	"2015"	3	0.932921510853291	0.0232440102815896	1.43837078561023	0.002	0.00758798433066284
"uu"	"Age_grp2"	"Right_Hand"	"2016"	3	0.936518645506251	0.0311380536394084	1.38089395048276	0.009	0.00891726187511005
"uu"	"Expo"	"Feces"	"2015"	1	0.659461906512639	0.0270772688988684	4.6370586515926	0.001	0.0225013909677251
"uu"	"Expo"	"Feces"	"2016"	1	0.640335868360648	0.0228380984748461	4.37500283660129	0.001	0.0182063535264039
