"Index"	"Age_grp2"	"Variable"	"Body_Site"	"Year"	"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"	"Omega2_partial"	"p.disp"
"bc"	"Age_0-3"	"Gender"	"Right_Arm"	"2015"	1	0.235211055928853	0.0279545921868366	0.970757986230205	0.471	-0.00088690753733982	NA
"bc"	"Age_0-3"	"Gender"	"Right_Arm"	"2016"	1	0.278394965906432	0.0642708723810701	1.16467693029396	0.182	0.00906577809921407	NA
"bc"	"Age_0-3"	"Gender"	"Right_Hand"	"2015"	1	0.300538480489318	0.0330422099217587	1.16959708833072	0.218	0.00496339151709333	NA
"bc"	"Age_0-3"	"Gender"	"Right_Hand"	"2016"	1	0.267278567999999	0.0481773856950412	0.929115141867027	0.573	-0.00355684924435295	NA
"bc"	"Age_3-8"	"Expo"	"Feces"	"2015"	1	0.398746814354249	0.0417859142605639	1.52279813300109	0.045	0.013932813090005	0.062
"bc"	"Age_3-8"	"Expo"	"Feces"	"2016"	1	0.390809607452825	0.0395731290653211	1.60385446253752	0.033	0.0145143874368964	0.466
"bc"	"Age_3-8"	"Expo"	"Mouth"	"2015"	1	0.402705019941719	0.0742210038894962	2.6785954205273	0.003	0.0457649863982487	0.111
"bc"	"Age_3-8"	"Expo"	"Mouth"	"2016"	1	0.422081682345407	0.0698776932528718	2.53597021619687	0.022	0.0409199551083962	0.44
"bc"	"Age_3-8"	"Expo"	"Nose"	"2015"	1	0.461069092108604	0.0592157565056738	1.78153221109908	0.088	0.0253896461598904	0.062
"bc"	"Age_3-8"	"Expo"	"Nose"	"2016"	1	0.43599806271934	0.0487176458800509	1.50736622571192	0.123	0.0156077309428599	0.747
"bc"	"Age_3-8"	"Expo"	"Right_Arm"	"2015"	1	1.33265765244257	0.147042426633324	5.84103997647061	0.001	0.121508875755493	0.018
"bc"	"Age_3-8"	"Expo"	"Right_Arm"	"2016"	1	0.52919890670833	0.104588832043301	2.21791405930809	0.001	0.0548167598477971	0.538
"bc"	"Age_3-8"	"Expo"	"Right_Hand"	"2015"	1	0.992214932401995	0.105227289171131	3.86720696371773	0.001	0.0777712010171924	0.23
"bc"	"Age_3-8"	"Expo"	"Right_Hand"	"2016"	1	0.597824867355577	0.0633035875069378	2.02538383507789	0.001	0.031048354810907	0.055
