Factor	Coefficient	Sum Sq	Df	F value	p_value	Omega2_partial	CI	CI_low	CI_high	Body_Site	Indice	Year
(Intercept)	0.637850588009511	64.7451249420835	1	7152.31630113781	2.45982323925701e-135	NA	NA	NA	NA	Mouth	pielou_e	2015
ExpoC	-0.0923962769120032	0.341674723802302	1	37.7443969553535	6.08985866914992e-09	0.183040710040468	0.95	0.0875712087621696	0.287712412887486	Mouth	pielou_e	2015
GenderC	0.0235461933121569	0.0225097512291303	1	2.48662522150791	0.116780552557446	0.008983355721455	0.95	0	0.0587657357602084	Mouth	pielou_e	2015
Residuals	NA	1.45742507417033	161	NA	NA	NA	NA	NA	NA	Mouth	pielou_e	2015
(Intercept)	4.00554190582812	2574.92507347539	1	3605.28072954576	1.31337079522146e-112	NA	NA	NA	NA	Mouth	shannon	2015
ExpoC	-0.874885535768283	30.7103325035569	1	42.9990647547573	6.99852349191945e-10	0.203879880740028	0.95	0.104618487040271	0.309116285683146	Mouth	shannon	2015
Residuals	NA	115.701908726417	162	NA	NA	NA	NA	NA	NA	Mouth	shannon	2015
(Intercept)	3.75929031493129	842.012251869061	1	928.180866808036	6.71367751132843e-65	NA	NA	NA	NA	Mouth	shannon	2016
Age_num	0.0095935718556969	3.65085984410319	1	4.02447618448825	0.0467044117322194	0.0201598849828276	0.95	0	0.0860254798077689	Mouth	shannon	2016
Residuals	NA	131.538777502364	145	NA	NA	NA	NA	NA	NA	Mouth	shannon	2016
(Intercept)	5.00840356006064	330.666900817654	1	2.25049024325446	0.135960148055568	NA	NA	NA	NA	Nose	faith_pd	2015
Age_num	2.05840407336702	1895.99879969541	1	12.9040033622527	0.000461434910152274	0.0799441458487366	0.95	0.0141912706425138	0.179979480011119	Nose	faith_pd	2015
ExpoC	7.49821460735338	1744.40176369484	1	11.8722470855223	0.000764428617540512	0.0735245950461167	0.95	0.0113711420950201	0.17159963739984	Nose	faith_pd	2015
Residuals	NA	19394.8989731279	132	NA	NA	NA	NA	NA	NA	Nose	faith_pd	2015
U1.Age_num	-2.15861299931218	2037.45151617411	1	13.8667182802865	NA	0.0858544073556256	0.95	0.0169625058521906	0.187541470864694	Nose	faith_pd	2015
(Intercept)	7.70287419793106	805.773930715863	1	8.29885732051576	0.00462589823412643	NA	NA	NA	NA	Nose	faith_pd	2016
Age_num	1.34962910886728	1257.9714508844	1	12.9561471105141	0.000448788616107279	0.0797309569557203	0.95	0.0142482849531444	0.179293330767834	Nose	faith_pd	2016
ExpoC	4.62257287318197	638.810691965755	1	6.57926322179956	0.0114267834829824	0.0388584193608849	0.95	0.000352932444242867	0.121766595159995	Nose	faith_pd	2016
Residuals	NA	12913.5769716486	133	NA	NA	NA	NA	NA	NA	Nose	faith_pd	2016
U1.Age_num	-1.42542851810453	1350.1088652344	1	13.9050922506138	NA	0.0855179375205035	0.95	0.0169680872602401	0.186700529338719	Nose	faith_pd	2016
(Intercept)	8.17689736240163	881.392167291837	1	0.104012160692736	0.74757725043316	NA	NA	NA	NA	Nose	observed_otus	2015
Age_num	15.1304631016942	102442.751439888	1	12.0891611248498	0.000687109553674005	0.074881652651816	0.95	0.0119499253438208	0.173386472188815	Nose	observed_otus	2015
ExpoC	45.5377467353987	64338.933750659	1	7.59256975999088	0.00668966778891017	0.0459116357553186	0.95	0.00194624237289888	0.132953990009953	Nose	observed_otus	2015
Residuals	NA	1118559.2656441	132	NA	NA	NA	NA	NA	NA	Nose	observed_otus	2015
U1.Age_num	-16.1184603525767	113601.696584569	1	13.4060164800729	NA	0.0830355883407653	0.95	0.0156208405211957	0.183952149076999	Nose	observed_otus	2015
(Intercept)	28.1007648260348	11767.66137653	1	2.4700802984147	0.118390260102062	NA	NA	NA	NA	Nose	observed_otus	2016
Age_num	8.14623915739597	57852.7569612744	1	12.1435305288463	0.00066613232393744	0.0747168213688695	0.95	0.0121617305182771	0.172359578070339	Nose	observed_otus	2016
Residuals	NA	638386.786642949	134	NA	NA	NA	NA	NA	NA	Nose	observed_otus	2016
U1.Age_num	-8.87636949329231	64330.0212503179	1	13.5031348203075	NA	0.0830755773641229	0.95	0.0159623423204222	0.18318266945225	Nose	observed_otus	2016
(Intercept)	0.499387437450187	32.1837702790991	1	2003.43550574274	7.34437386747743e-83	NA	NA	NA	NA	Nose	pielou_e	2015
ExpoC	-0.0352776999841334	0.040151541850173	1	2.4994282476964	0.116227758427689	0.0108262414268944	0.95	0	0.0696259565675239	Nose	pielou_e	2015
Residuals	NA	2.16867923884958	135	NA	NA	NA	NA	NA	NA	Nose	pielou_e	2015
(Intercept)	0.495588190855753	31.046231393834	1	2230.42206629244	3.08609228089919e-86	NA	NA	NA	NA	Nose	pielou_e	2016
ExpoC	-0.0369802986598374	0.0432163245971124	1	3.10474539671827	0.0803112113601873	0.0150226560189557	0.95	0	0.0785532200969407	Nose	pielou_e	2016
Residuals	NA	1.89304416117977	136	NA	NA	NA	NA	NA	NA	Nose	pielou_e	2016
(Intercept)	1.94665943751386	54.2821076929924	1	38.8348230793955	5.66214821343442e-09	NA	NA	NA	NA	Nose	shannon	2015
Age_num	0.146562773983138	11.8048524176449	1	8.44549658444449	0.00428805496013262	0.0515453701257607	0.95	0.00356287988281404	0.140874040540637	Nose	shannon	2015
Residuals	NA	185.903262863026	133	NA	NA	NA	NA	NA	NA	Nose	shannon	2015
U1.Age_num	-0.154641954735373	12.6776022971564	1	9.06988440952831	NA	0.0556275648965656	0.95	0.00481133500475057	0.146733586181342	Nose	shannon	2015
(Intercept)	2.17024718584634	86.7576677151379	1	75.8719658409838	9.95676807953852e-15	NA	NA	NA	NA	Nose	shannon	2016
Age_num	0.0958020503174546	12.8704627342915	1	11.2555735377778	0.00103282056864421	0.069174961136719	0.95	0.00983720920461528	0.165010554070451	Nose	shannon	2016
Residuals	NA	153.225599797873	134	NA	NA	NA	NA	NA	NA	Nose	shannon	2016
U1.Age_num	-0.112783090718146	15.7472730384875	1	13.7714232474267	NA	0.0847071876907858	0.95	0.0167424914608595	0.185261906445041	Nose	shannon	2016
(Intercept)	51.3491503785306	419115.345069744	1	2379.15996651076	2.34454442244883e-98	NA	NA	NA	NA	Right_Arm	faith_pd	2015
ExpoC	15.5185832928804	9680.91060932118	1	54.9548834992749	6.61916950244857e-12	0.247550697800513	0.95	0.141593324940874	0.353515766962022	Right_Arm	faith_pd	2015
GenderC	-4.91813672525991	978.219279912682	1	5.55298243458479	0.019652679695959	0.0270121736727607	0.95	0	0.093889610917676	Right_Arm	faith_pd	2015
Residuals	NA	28361.9308941174	161	NA	NA	NA	NA	NA	NA	Right_Arm	faith_pd	2015
