Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Corynebacteriaceae.D_5_Corynebacterium.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium.1	-0.615285127618212	FALSE	1	Nose	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Pseudomonadales.D_4_Moraxellaceae.D_5_Moraxella	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	-2.57619083428936	FALSE	2	Nose	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Carnobacteriaceae.D_5_Dolosigranulum	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Dolosigranulum	-2.84920517901324	FALSE	3	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Dermabacteraceae.D_5_Brachybacterium	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	-0.492553858651725	FALSE	4	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae		-1.05331908936805	FALSE	5	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Micrococcus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	-0.495318491873585	FALSE	6	Nose	2015
D_0_Bacteria.D_1_Deinococcus.Thermus.D_2_Deinococci.D_3_Deinococcales.D_4_Deinococcaceae.D_5_Deinococcus	Bacteria	Deinococcus.Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	-0.610126352649835	FALSE	7	Nose	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Sphingomonadales.D_4_Sphingomonadaceae.D_5_Sphingomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	1.65130173031464	TRUE	8	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Nesterenkonia	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia	-3.52283798538042	FALSE	9	Nose	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Staphylococcaceae.D_5_	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae		-2.85564754988703	FALSE	10	Nose	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Leuconostocaceae.D_5_Weissella	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	-0.886852556591516	FALSE	11	Nose	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Leuconostocaceae.D_5_Leuconostoc	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	-0.815105373261046	FALSE	12	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Dietziaceae.D_5_Dietzia	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	-0.943840309104532	FALSE	13	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Glutamicibacter	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	-1.26866067527194	FALSE	14	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Ornithinicoccus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinicoccus	-1.98595978680483	FALSE	15	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Corynebacteriaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae		-0.870125838601431	FALSE	16	Nose	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Aerococcaceae.D_5_Aerococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	-0.638663112226574	FALSE	17	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Propionibacteriales.D_4_Nocardioidaceae.D_5_Aeromicrobium	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	-0.632390313709033	FALSE	18	Nose	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Carnobacteriaceae.D_5_	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae		-0.673391149309573	FALSE	19	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Propionibacteriales.D_4_Propionibacteriaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae		-0.578774628809752	FALSE	20	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Rothia	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	1.47288889175999	TRUE	21	Nose	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Acetobacterales.D_4_Acetobacteraceae.D_5_Roseomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	1.28300573777685	TRUE	22	Nose	2015
D_0_Archaea.D_1_Euryarchaeota.D_2_Halobacteria.D_3_Halobacteriales.D_4_Halococcaceae.D_5_Halococcus	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	1.50408103531524	TRUE	23	Nose	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Chitinophagales.D_4_Chitinophagaceae.D_5_Flavisolibacter	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	1.1442571693233	TRUE	24	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Terrabacter	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	0.912452495369991	TRUE	25	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Janibacter	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	1.67486797012436	TRUE	26	Nose	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Pseudonocardiales.D_4_Pseudonocardiaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		1.45314465712598	TRUE	27	Nose	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Flavobacteriales.D_4_Weeksellaceae.D_5_	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae		-1.46502080216846	FALSE	28	Nose	2015
