Factors	Sum Sq	Df	F value	p_value	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice	q_value
Expo:Gender	4.18270901552718	1	2.73885862879114	0.102228168635837	0.0361618682718041	0.95	0	0.152733229220286	2015	Nose	shannon	0.366972913051723
Gender	0.858277911448198	1	0.562004637411875	0.455862878431238	0.00763987659365733	0.95	0	0.0911625140442075	2015	Nose	shannon	0.75352999306243
Residuals	111.483577474115	73	NA	NA	NA	NA	NA	NA	2015	Nose	shannon	NA
(Intercept)	65.1156705720084	1	49.2620494633103	1.15475987805775e-09	NA	NA	NA	NA	2016	Nose	shannon	8.98146571822696e-09
Age_num	3.53711933420939	1	2.67594184424107	0.106364010873359	0.0368201880338358	0.95	0	0.156852947307057	2016	Nose	shannon	0.372020976198297
Age_num:Expo	1.92338189892018	1	1.45509880201053	0.231772739748103	0.0203638204467725	0.95	0	0.125672140720749	2016	Nose	shannon	0.589966973904262
Age_num:Gender	0.502787715144308	1	0.380374694377039	0.539403555710265	0.00540455625632565	0.95	0	0.0858820669161472	2016	Nose	shannon	0.79508281318534
Expo	0.0759039250245479	1	0.0574237027150582	0.811315519828111	0.000819666206378536	0.95	0	0.0556004008905327	2016	Nose	shannon	0.914317818240918
Expo:Gender	1.02339319748718	1	0.774229089129594	0.381922757441274	0.0109394210165761	0.95	0	0.103341196179852	2016	Nose	shannon	0.691338891358484
Gender	0.495234938128135	1	0.374660781402057	0.542457797651588	0.00532380230671135	0.95	0	0.0855702371911105	2016	Nose	shannon	0.79508281318534
Residuals	92.5275539629223	70	NA	NA	NA	NA	NA	NA	2016	Nose	shannon	NA
(Intercept)	19381.2750108965	1	1.66793215751981	0.200610086020093	NA	NA	NA	NA	2015	Nose	observed_otus	0.545347806656565
Age_num	158274.152488871	1	13.6209072154418	0.000428199086167396	0.157247339623957	0.95	0.0351180302336323	0.310092177772836	2015	Nose	observed_otus	0.0029242864421188
Age_num:Expo	11140.5418441331	1	0.958743322282854	0.330737590179189	0.0129632181296677	0.95	0	0.105959107646637	2015	Nose	observed_otus	0.665065108172354
Age_num:Gender	3126.81211592222	1	0.269090164384804	0.6055117370993	0.00367262871397856	0.95	0	0.0761896820610617	2015	Nose	observed_otus	0.820349186508367
Expo	1810.84672400239	1	0.155839565849248	0.694167234532037	0.0021302409592193	0.95	0	0.0673696918129115	2015	Nose	observed_otus	0.8695031436451
Expo:Gender	11317.4801921301	1	0.973970450547468	0.32695178709748	0.0131663941331712	0.95	0	0.106466427455577	2015	Nose	observed_otus	0.66338043758909
Gender	5104.72211137228	1	0.439307019789634	0.509544522418426	0.0059819058433007	0.95	0	0.0856096108710307	2015	Nose	observed_otus	0.792624812650885
Residuals	848255.769526789	73	NA	NA	NA	NA	NA	NA	2015	Nose	observed_otus	NA
(Intercept)	27697.5120021085	1	5.24552538131262	0.0250200111301691	NA	NA	NA	NA	2016	Nose	observed_otus	0.118739035871989
Age_num	22400.9276176757	1	4.24242561478157	0.0431461651746443	0.0571428745713948	0.95	0	0.189224071976976	2016	Nose	observed_otus	0.182962748841175
