Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Residuals	168889.385786051	40	NA	NA	NA	NA	NA	NA	2016	Nose	observed_otus
Urban	17.2442001526069	1	0.00408414065155093	0.949362362912025	0.000102093092225068	0.95	0	0.033857189977792	2016	Nose	observed_otus
Urban:Gender	7879.37889854467	1	1.86616319595745	0.179546832237122	0.0445744977208144	0.95	0	0.218099563598434	2016	Nose	observed_otus
(Intercept)	26663.8823412037	1	171.11587975076	3.16021877358757e-18	NA	NA	NA	NA	2015	Right_Arm	faith_pd
Age_num	545.872585042192	1	3.50314580697701	0.0667755983802185	0.0619991286669996	0.95	0	0.218997953869441	2015	Right_Arm	faith_pd
Age_num:Gender	207.441174668398	1	1.3312569657218	0.253758300343596	0.0245025983212887	0.95	0	0.155203827528577	2015	Right_Arm	faith_pd
Age_num:Urban	861.727062429383	1	5.53014682954774	0.0224408905093147	0.0944837340943754	0.95	0.000748283788138495	0.263210472654276	2015	Right_Arm	faith_pd
Gender	303.46494752427	1	1.94749102192405	0.168677168914596	0.0354427651873495	0.95	0	0.176196044277002	2015	Right_Arm	faith_pd
Residuals	8258.64768449419	53	NA	NA	NA	NA	NA	NA	2015	Right_Arm	faith_pd
Urban	93.0571198355447	1	0.597195514290296	0.443082867156147	0.0111422903485886	0.95	0	0.123323235666702	2015	Right_Arm	faith_pd
Urban:Gender	247.497744633436	1	1.58832062665663	0.213086933093741	0.0290963453065273	0.95	0	0.164376957518348	2015	Right_Arm	faith_pd
(Intercept)	7554.76080723634	1	38.2812049737745	1.52191018811976e-06	NA	NA	NA	NA	2016	Right_Arm	faith_pd
Age_num	217.075284649438	1	1.09995586603429	0.303927582096389	0.0405888434457903	0.95	0	0.259540315103211	2016	Right_Arm	faith_pd
Age_num:Gender	283.766480697076	1	1.43789103181749	0.241295639765909	0.052405304407328	0.95	0	0.279317663647299	2016	Right_Arm	faith_pd
Age_num:Urban	20.1309204733307	1	0.102006656810652	0.75198681956008	0.0039080005668467	0.95	0	0.154525003852772	2016	Right_Arm	faith_pd
Gender	644.150022616132	1	3.26401320687878	0.0824037632107442	0.111536759630478	0.95	0	0.358317284792938	2016	Right_Arm	faith_pd
Residuals	5131.07623238897	26	NA	NA	NA	NA	NA	NA	2016	Right_Arm	faith_pd
Urban	286.522416612795	1	1.45185580851607	0.239083710522416	0.0528873464381843	0.95	0	0.28008132922931	2016	Right_Arm	faith_pd
Urban:Gender	62.658460394824	1	0.317500636607561	0.577941427872357	0.0120642397236582	0.95	0	0.194419423384036	2016	Right_Arm	faith_pd
(Intercept)	7.15614053218026	1	1903.08440707755	3.27369487227357e-43	NA	NA	NA	NA	2015	Right_Arm	pielou_e
Age_num	0.0148558277045456	1	3.95071811846291	0.0520288235871237	0.069370821808516	0.95	0	0.229613838152683	2015	Right_Arm	pielou_e
Age_num:Gender	0.00262396139151758	1	0.697809103456666	0.407270869428184	0.0129951131174129	0.95	0	0.128417367076321	2015	Right_Arm	pielou_e
Age_num:Urban	0.0101007995280285	1	2.68617895279801	0.10714576082854	0.0482378034067471	0.95	0	0.197882348105398	2015	Right_Arm	pielou_e
Gender	0.000340686282651242	1	0.0906011766123409	0.764591988516413	0.0017065389090424	0.95	0	0.0802361928467034	2015	Right_Arm	pielou_e
Residuals	0.199295126792607	53	NA	NA	NA	NA	NA	NA	2015	Right_Arm	pielou_e
Urban	0.00281586305261966	1	0.748842905447191	0.390743048414397	0.0139322609561014	0.95	0	0.130961173240882	2015	Right_Arm	pielou_e
Urban:Gender	0.00332153991378556	1	0.883321224476449	0.351557511559906	0.0163932215832903	0.95	0	0.137049149947762	2015	Right_Arm	pielou_e
(Intercept)	2.40966372238083	1	958.717421336676	4.75632747135921e-22	NA	NA	NA	NA	2016	Right_Arm	pielou_e
