Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Xanthomonadales.D_4_Xanthomonadaceae.D_5_Luteimonas	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	-1.57557155363966	FALSE	77	Right_Arm	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Sphingobacteriales.D_4_Sphingobacteriaceae.D_5_Pedobacter	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	-0.905187310484816	FALSE	78	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Enterococcaceae.D_5_Enterococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	-1.9403332955133	FALSE	79	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Bacillales.D_4_Bacillaceae.D_5_Aeribacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aeribacillus	-2.29028140036652	FALSE	80	Right_Arm	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Acetobacterales.D_4_Acetobacteraceae.D_5_Acetobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	-1.40400698115043	FALSE	81	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Negativicutes.D_3_Selenomonadales.D_4_Veillonellaceae.D_5_Dialister	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	-0.880966877547751	FALSE	82	Right_Arm	2015
D_0_Bacteria.D_1_Fusobacteria.D_2_Fusobacteriia.D_3_Fusobacteriales.D_4_Leptotrichiaceae.D_5_Sneathia	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	-1.17501753901654	FALSE	83	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Family.XI.D_5_Ezakiella	Bacteria	Firmicutes	Clostridia	Clostridiales	Family.XI	Ezakiella	-0.802513284078665	FALSE	84	Right_Arm	2015
D_0_Bacteria.D_1_Spirochaetes.D_2_Spirochaetia.D_3_Spirochaetales.D_4_Spirochaetaceae.D_5_Treponema.2	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema.2	-1.19350706147508	FALSE	85	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Peptostreptococcaceae.D_5_Peptostreptococcus	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	-1.21821664028545	FALSE	86	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Family.XI.D_5_Parvimonas	Bacteria	Firmicutes	Clostridia	Clostridiales	Family.XI	Parvimonas	-0.918924890179077	FALSE	87	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Aerococcaceae.D_5_Facklamia	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	-1.43333421796956	FALSE	88	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Propionibacteriales.D_4_Propionibacteriaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae		-2.52174789135164	FALSE	89	Right_Arm	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Sphingobacteriales.D_4_Sphingobacteriaceae.D_5_Olivibacter	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	-1.34590022058946	FALSE	90	Right_Arm	2015
D_0_Bacteria.D_1_Deinococcus.Thermus.D_2_Deinococci.D_3_Thermales.D_4_Thermaceae.D_5_Thermus	Bacteria	Deinococcus.Thermus	Deinococci	Thermales	Thermaceae	Thermus	-1.12818969277045	FALSE	91	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Thermoanaerobacterales.D_4_Family.III.D_5_Thermoanaerobacterium	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Family.III	Thermoanaerobacterium	-0.684992796823839	FALSE	92	Right_Arm	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Cytophagales.D_4_Spirosomaceae.D_5_Dyadobacter	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	-0.767164919701478	FALSE	93	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Frankiales.D_4_Geodermatophilaceae.D_5_Antricoccus	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Antricoccus	-0.730283148746993	FALSE	94	Right_Arm	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Rhodothermia.D_3_Rhodothermales.D_4_Rhodothermaceae.D_5_uncultured	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured	-0.806753296964487	FALSE	95	Right_Arm	2015
D_0_Bacteria.D_1_Planctomycetes.D_2_Planctomycetacia.D_3_Planctomycetales.D_4_uncultured.D_5_uncultured.Planctomyces.sp.	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	uncultured	uncultured.Planctomyces.sp.	-0.841412202743369	FALSE	96	Right_Arm	2015
